signal_quality_score,artifact_burden_score,temporal_stability_score,missingness_risk_score,device_bias_score,confounding_risk_score,overall_trust_score,category,explanation,participant_id
68.9,59.199999999999996,86.30637994553419,71.5952380952381,100.0,98.79788240643573,76.95,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: artifact_burden_score (59.2). Research prototype only. Not medical advice.,P0001
55.403333333333336,65.55166666666668,84.31131201302506,78.5952380952381,100.0,63.56665930754857,71.97,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (55.4). Research prototype only. Not medical advice.,P0002
64.49833333333333,58.51833333333334,86.63458517139694,70.80952380952381,100.0,89.03154037864101,74.68,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: artifact_burden_score (58.5). Research prototype only. Not medical advice.,P0003
56.230000000000004,53.980000000000004,89.56797952518292,49.80952380952382,100.0,93.43150342465356,69.58,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: missingness_risk_score (49.8). Research prototype only. Not medical advice.,P0004
47.27166666666667,60.126666666666665,81.33709223775071,64.97619047619048,100.0,74.32635305458004,67.29,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (47.3). Research prototype only. Not medical advice.,P0005
54.76166666666666,52.34833333333333,87.07832216429796,61.47619047619048,100.0,86.08465999173828,69.41,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: artifact_burden_score (52.3). Research prototype only. Not medical advice.,P0006
57.264999999999986,63.135,89.03869214008903,53.28571428571429,100.0,85.94392105140095,71.34,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: missingness_risk_score (53.3). Research prototype only. Not medical advice.,P0007
54.76500000000002,57.46,80.36787281605754,67.6904761904762,100.0,83.21633421345294,69.73,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (54.8). Research prototype only. Not medical advice.,P0008
56.41166666666667,59.66499999999999,67.22243562891565,77.42857142857143,100.0,68.54017014192559,67.95,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (56.4). Research prototype only. Not medical advice.,P0009
69.98666666666666,66.09833333333333,86.8202588706961,71.5952380952381,100.0,85.44119497186014,77.36,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: artifact_burden_score (66.1). Research prototype only. Not medical advice.,P0010
69.78000000000002,64.59666666666666,88.12330372293864,89.88095238095238,100.0,77.60429359816003,79.23,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: artifact_burden_score (64.6). Research prototype only. Not medical advice.,P0011
50.224999999999994,48.14166666666667,82.38419655654505,43.57142857142857,100.0,70.63383945123847,62.26,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: missingness_risk_score (43.6). Research prototype only. Not medical advice.,P0012
54.65833333333333,56.39333333333333,69.18007982108216,68.0952380952381,100.0,93.57615168941523,68.35,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (54.7). Research prototype only. Not medical advice.,P0013
69.03666666666665,74.11333333333333,88.45588306572863,92.21428571428572,100.0,89.77743030530102,82.58,high,Overall category: high. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (69.0). Research prototype only. Not medical advice.,P0014
66.57666666666667,71.61166666666666,88.1700725919452,82.0952380952381,100.0,92.0656706887439,80.12,high,Overall category: high. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (66.6). Research prototype only. Not medical advice.,P0015
75.54666666666665,68.47833333333332,91.19108677450522,84.04761904761905,100.0,80.28413107998257,81.46,high,Overall category: high. Strongest component: device_bias_score (100.0). Weakest component: artifact_burden_score (68.5). Research prototype only. Not medical advice.,P0016
67.71833333333333,68.43333333333332,89.68874824523496,94.54761904761905,100.0,58.323450488736526,78.57,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: confounding_risk_score (58.3). Research prototype only. Not medical advice.,P0017
73.99833333333333,67.72833333333332,87.11612734895786,76.26190476190476,100.0,75.42055356756225,78.45,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: artifact_burden_score (67.7). Research prototype only. Not medical advice.,P0018
51.81166666666668,58.20000000000001,86.81772280705945,64.1904761904762,100.0,86.12353834509912,70.2,moderate,Overall category: moderate. Strongest component: device_bias_score (100.0). Weakest component: signal_quality_score (51.8). Research prototype only. Not medical advice.,P0019
